"ID","CH","E","DOWN_AMP","DUR","N","P2P_AMP","SLOPE_NEG1","SLOPE_NEG2","SLOPE_POS1","SLOPE_POS2","UP_AMP"
"study_002","C4M1",65,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",149,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",150,-60.6616312997891,1.625,1,124.677268845014,-71.3666249746146,367.646248073593,355.642428831015,-148.873575340353,64.0156375452252
"study_002","C4M1",151,-226.413682775612,1.46333333333333,6,425.823943125425,-574.312876803253,567.200883389726,557.339656814899,-418.391664103964,199.410260349812
"study_002","C4M1",152,-51.7024160000197,1.06,5,81.8195119799965,-201.53732458848,304.476662579015,167.166594066651,-189.279644024342,30.1170959799769
"study_002","C4M1",153,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",154,-71.9518924390101,1.869,5,135.71494351815,-170.756922300663,234.627566023606,133.421242097065,-148.351314544618,63.7630510791399
"study_002","C4M1",155,-72.8787174207093,1.55333333333333,3,127.82839344872,-317.014002072817,358.001670369303,128.433813836781,-153.568853286511,54.9496760280111
"study_002","C4M1",156,-83.857929363874,0.89,1,95.9207046167033,-131.028014426322,578.330543348575,268.061666328171,-201.046250863052,12.0627752528293
"study_002","C4M1",157,-44.1572552092931,2.065,1,81.2080332532199,-53.5239456433566,294.381699432743,119.518638465833,-47.5009974313151,37.0507780439267
"study_002","C4M1",158,-72.3799897180046,1.554,5,123.033481137546,-382.407135234156,223.790095493965,179.239304178289,-115.732208082002,50.6534914195414
"study_002","C4M1",159,-53.2990372365595,1.686,5,97.780378853281,-146.383201666896,286.371861175933,118.043594294895,-106.87529043051,44.4813416167215
"study_002","C4M1",160,-51.5213771934383,1.23916666666667,6,98.699021014854,-149.506197178734,292.858065290654,201.345745503425,-166.089628783425,47.1776438214157
"study_002","C4M1",161,-61.1459767418267,1.2025,2,89.9631959022899,-123.501716512591,375.378408132514,162.035706182996,-117.077379230541,28.8172191604631
"study_002","C4M1",162,-53.901212981234,1.191,5,98.5096810006479,-211.972955194052,331.875835242329,205.590590824438,-110.038464781689,44.6084680194139
"study_002","C4M1",163,-60.8724284025708,1.057,5,124.385577693224,-257.77105874215,262.664652878491,306.545762246664,-278.425483669938,63.5131492906527
"study_002","C4M1",164,-65.7033187329035,1.20285714285714,7,131.425192439793,-244.190243524936,373.207016836444,285.194475361977,-193.653309216273,65.7218737068892
"study_002","C4M1",165,-65.046229782863,0.955,2,92.7417776331344,-307.120292064062,375.268795122253,193.596818371536,-92.3119756642262,27.6955478502714
"study_002","C4M1",166,-53.9426169395028,1.195625,8,90.9294267692425,-304.403160381095,330.092211991309,170.514762694392,-118.744683210622,36.9868098297397
"study_002","C4M1",167,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",168,-48.7147611910023,1.20666666666667,3,85.9886516239121,-155.989047517381,187.168031546739,164.618239283078,-255.442986559093,37.2738904329099
"study_002","C4M1",169,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",170,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",171,-81.8152980977193,1.43,3,138.954487186829,-168.180830123928,330.236507325669,174.713705582649,-238.970751313799,57.1391890891094
"study_002","C4M1",172,-76.4108740065289,2.045,1,109.606427809211,-141.501618268569,259.019911008505,154.397923945508,-33.3623655973063,33.1955538026821
"study_002","C4M1",173,-73.8612168307269,1.465,2,107.325867599655,-158.780265475663,357.102891032221,73.8561442253549,-257.420388550059,33.4646507689281
"study_002","C4M1",174,-66.6073783549265,1.43,1,158.551437973068,-131.895798461447,251.348596617275,206.615863846125,-427.646786932534,91.9440596181416
"study_002","C4M1",175,-99.0043120224905,1.525,4,205.087283134491,-306.083491307405,311.267149128982,297.948188468552,-314.584887193936,106.082971112001
"study_002","C4M1",176,-51.6573259693373,1.615,2,102.495177663867,-94.231849665065,267.270169090859,163.097023713793,-141.019926776474,50.8378516945294
"study_002","C4M1",177,-63.4887090020425,1.9,3,98.1098620669875,-200.504899385129,226.765578318307,95.3918521002879,-149.021490012846,34.6211530649449
"study_002","C4M1",178,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",179,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",180,-51.9039193645634,2.3675,2,85.4758289978694,-117.177619894733,84.6264174734468,106.072668241688,-39.7394313590277,33.571909633306
"study_002","C4M1",181,-64.217195552727,1.53,3,106.055594337007,-126.021347903053,332.267283838831,134.021218152763,-99.9558713418398,41.8383987842805
"study_002","C4M1",182,-87.4245443115419,1.07083333333333,6,190.046181978628,-350.386555154645,382.439043466592,428.281934119026,-474.516456150992,102.621637667087
"study_002","C4M1",183,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",184,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",185,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",186,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",187,-60.8144775986621,1.8975,4,114.495249205714,-123.405763767761,169.671766907865,167.264325310639,-163.249549989722,53.6807716070517
"study_002","C4M1",188,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",189,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",192,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",203,-50.4336230113572,0.9725,2,77.6832785263439,-412.757699564229,282.367894725134,190.066242035066,-152.566545163286,27.2496555149867
"study_002","C4M1",204,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",205,-49.8050774909101,0.9475,2,71.7412388617103,-467.78677523098,433.087626589761,71.8262477749496,-59.3229095664537,21.9361613708002
"study_002","C4M1",206,-42.7944779126042,1.27,1,88.3526452613771,-108.340450137377,342.355820561987,149.371039998039,-102.377903924483,45.5581673487728
"study_002","C4M1",207,-48.534093683389,0.9,1,72.9540308972242,-422.035593576986,404.450777324485,80.0653676517046,-67.8331587388947,24.4199372138353
"study_001","C4M1",208,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_002","C4M1",208,NA,NA,0,NA,NA,NA,NA,NA,NA
"study_001","C4M1",209,-54.4143876599752,1.455,2,84.7193277642862,-282.230719996789,281.542281252389,194.243448844815,-53.2869778397641,30.304940104311
