"ID","MSPINDLE","MSP_DUR","MSP_F","MSP_FL","MSP_FU","MSP_SIZE","MSP_START","MSP_STAT","MSP_STOP"
"study_001","1",0.440000001,15.625,15.625,15.625,1,6234.505,1.22038962868085,6234.945
"study_002","1",1.665000001,13.7297804925792,11.71875,15.625,5,1920.89,1.4895064155759,1922.555
"study_001","10",0.695000001,9.375,9.375,9.375,1,7103.95,1.78830846248598,7104.645
"study_002","10",0.840000001,14.0625,14.0625,14.0625,3,1941.015,1.57785752839143,1941.855
"study_001","100",0.950000001,10.7811434573024,9.375,12.5,4,8024.12,1.70962706556595,8025.07
"study_002","100",0.940000001,14.2759594025399,12.5,15.625,4,4715.445,1.55016657620045,4716.385
"study_001","101",0.660000001,10.15625,10.15625,10.15625,1,8030.415,1.16241965955855,8031.075
"study_002","101",0.850000001,11.968129842886,10.9375,12.5,4,4719.115,2.13772263294082,4719.965
"study_001","102",0.725000001,10.15625,10.15625,10.15625,2,8051.32,1.2018979211874,8052.045
"study_002","102",0.530000001,17.1875,17.1875,17.1875,1,4719.4,2.4839708519355,4719.93
"study_001","103",0.920000001,10.15625,10.15625,10.15625,2,8054.49,1.45079512827405,8055.41
"study_002","103",0.600000001,17.1875,17.1875,17.1875,1,4720.57,1.47540384254005,4721.17
"study_001","104",0.725000001,10.9375,10.9375,10.9375,3,8068.4,1.45710510664844,8069.125
"study_002","104",0.560000001,10.4691846016541,9.375,10.9375,3,4722.85,3.07711367517834,4723.41
"study_001","105",1.680000001,10.9375,10.9375,10.9375,2,8071.835,1.29065894295447,8073.515
"study_002","105",1.430000001,14.8714787260759,14.0625,16.015625,4,4722.94,2.56620100333899,4724.37
"study_001","106",1.230000001,10.15625,10.15625,10.15625,1,8074.095,0.984134771776868,8075.325
"study_002","106",1.945000001,11.6639343048643,10.9375,12.890625,5,4726.48,2.67266050280017,4728.425
"study_001","107",1.180000001,10.493919585572,10.15625,10.9375,2,8076.58,1.39605745599564,8077.76
"study_002","107",1.890000001,15.884938461778,15.625,16.40625,2,4726.68,3.57849844135333,4728.57
"study_001","108",1.050000001,11.2392465884563,10.15625,12.5,4,8082.055,1.53930926740301,8083.105
"study_002","108",1.595000001,10.3342458761234,10.15625,10.546875,2,4739.675,1.48325914998867,4741.27
"study_001","109",1.280000001,9.375,9.375,9.375,1,8088.075,1.10844640086509,8089.355
"study_002","109",1.390000001,14.906410501063,14.0625,15.625,3,4739.74,1.9526295883124,4741.13
"study_001","11",0.710000001,10.9375,10.9375,10.9375,2,7106.745,1.39663440813244,7107.455
"study_002","11",0.900000001,10.5804684757328,10.15625,10.9375,2,1944.14,1.92610411083604,1945.04
"study_001","110",0.625000001,9.375,9.375,9.375,1,8093.245,1.04265933353792,8093.87
"study_002","110",1.415000001,14.0625,14.0625,14.0625,3,4741.775,1.5966276393045,4743.19
"study_001","111",0.750000001,10.9375,10.9375,10.9375,1,8106.26,1.09347023529936,8107.01
"study_002","111",1.140000001,17.1875,17.1875,17.1875,1,4741.805,2.07451784939445,4742.945
"study_001","112",0.575000001,9.375,9.375,9.375,1,8122.725,1.11620895531191,8123.3
"study_002","112",0.765000001,15.0668067486364,14.84375,15.625,4,4750.475,2.38536125452885,4751.24
"study_001","113",0.640000001,9.375,9.375,9.375,1,8173.255,1.02729461536992,8173.895
"study_002","113",2.220000001,13.7660171631079,12.5,14.453125,4,4752.7,2.4262992147157,4754.92
"study_001","114",0.460000001,9.375,9.375,9.375,1,8185.115,1.39125862047635,8185.575
"study_002","114",1.890000001,16.796875,16.796875,16.796875,1,4753.03,4.01413044379564,4754.92
"study_001","115",1.795000001,10.15625,10.15625,10.15625,2,8188.74,1.07134229172661,8190.535
"study_002","115",1.410000001,10.15625,10.15625,10.15625,2,4753.49,1.86028033196818,4754.9
"study_001","116",0.575000001,9.375,9.375,9.375,1,8202.02,1.07829311615526,8202.595
"study_002","116",0.895000001,14.4608446152534,14.0625,14.84375,2,4755.9,2.25636051772779,4756.795
"study_001","117",0.605000001,10.9375,10.9375,10.9375,2,8224.425,1.14079719915118,8225.03
"study_002","117",1.590000001,17.578125,17.578125,17.578125,1,4755.905,2.01181358281551,4757.495
"study_001","118",0.660000001,10.9375,10.9375,10.9375,3,8240.84,1.82194114547307,8241.5
"study_002","118",1.405000001,15.0345400076649,13.28125,15.625,4,4757.57,3.51107827925373,4758.975
"study_001","119",0.615000001,9.375,9.375,9.375,1,8244.12,1.1542406166563,8244.735
"study_002","119",0.685000001,10.15625,10.15625,10.15625,1,4758.28,1.61865490219424,4758.965
